gene_id,planted_group,label_post_cutoff,is_temporal_evaluation,score_popularity,score_mean_expression,score_differential_expression,score_cell_type_specificity,score_network_centrality,score_druggable_class,score_supervised_with_popularity,score_supervised_without_popularity,score_random_mlp_small,score_random_mlp_large,score_random_ranking,score_supervised_unmatched_compute,score_supervised_ood_transfer,score_random_mlp_small_ood_transfer
GENE_00000,popularity_only,0,1,0.9839893262174784,-0.95897761387172,-0.0833649554577054,0.5370669314651729,0.9568905784682248,0.0,0.26313197341099753,0.27277768399126207,0.2992026231629786,0.32361557789301176,0.474596854413201,0.26150025586725273,0.3954433540261865,0.6600675611292058
GENE_00001,biology_signal,0,1,0.05670446964643095,-1.9656369235059996,-3.3771743900256577,0.0557583101235573,0.2419535850492706,0.00066711140760507,0.01326098424163,0.0129231791114124,0.03452582087845129,0.012064649539330273,0.10508761950209056,0.013057680601040286,0.7427351901490898,0.5604083789562837
GENE_00002,biology_signal,0,0,0.9953302201467645,0.4229916541159765,-0.1605068680772867,0.3713316641747508,0.916626348738462,0.00133422281521014,0.36611152489619325,0.3938857693690653,0.43942685016844635,0.29873642745186685,0.2882133299270364,0.365147855308159,0.5064770303818982,0.40058115473759637
GENE_00003,biology_signal,0,0,0.5230153435623749,1.7204397682419044,2.203679896988371,0.6958250804842213,0.3394822169452911,0.6064042695130086,0.9060793617725315,0.9075753977945585,0.8973484443946276,0.9028211230212925,0.2405489437910523,0.9067577613572723,0.3199871751342152,0.3610462182617496
GENE_00004,noise,0,0,0.27284856571047367,0.1640802052551716,0.7651284843311273,0.68115937392126,0.4807520980060316,0.0020013342228152103,0.4378282635851584,0.4338756239200319,0.5008139724999126,0.5614275698851957,0.7120692627762623,0.43728488577845,0.40430495297531255,0.4536891983242542
GENE_00005,popularity_only,0,1,0.9959973315543695,-0.0554818156276305,0.9636022949500046,0.748696391376383,0.871748439945673,0.00266844563042028,0.5171695591639021,0.5485942579147006,0.4323671884951263,0.5242333068978474,0.5341804644593602,0.5156893470961376,0.6433259081208279,0.4766333686580113
GENE_00006,biology_signal,0,1,0.2048032021347565,0.3796318219618767,0.6465592058447088,0.5881542511926069,0.2166765063712283,0.6070713809206137,0.6368193463653777,0.6377493745992244,0.6061325131339026,0.5940871419734108,0.12735518535322377,0.6369459625491705,0.6472709781098326,0.7742703218995943
GENE_00007,noise,0,1,0.619079386257505,-0.1745005539795515,0.2992869201192131,0.5742522838201433,0.5266354868350515,0.6077384923282189,0.6006688364874675,0.59972711193152,0.6664876392017484,0.6770500136130213,0.9199602746226431,0.6003723945160454,0.8638720079689546,0.8530265973064459
GENE_00008,biology_signal,0,1,0.52368245496998,0.3165903659432157,-1.0305201926407348,0.5280083171995459,0.3295049351951495,0.00333555703802535,0.2242989934713564,0.2242643681051264,0.20933160459795416,0.18770675309195603,0.13613672714016534,0.2235773606279284,0.48139644548571914,0.4436644317467991
GENE_00009,noise,0,1,0.657104736490994,0.1869146844533714,-0.8915402508106143,0.2976477362909145,0.4188889169185716,0.004002668445630421,0.18161897821034312,0.1818077543310745,0.13980920630247454,0.12690450517489982,0.9631923542043356,0.18102234379243926,0.13044620838218707,0.10926794533923594
GENE_00010,biology_signal,0,0,0.057371581054036024,-0.3603856355766275,-0.1730316682460942,0.1456242566626678,0.3596503201043303,0.004669779853235491,0.13738166513565833,0.13525966106547246,0.1636873545462089,0.11566510049015728,0.3229429076260254,0.13678800203246785,0.2581779001761408,0.2170202951055678
GENE_00011,noise,0,0,0.8625750500333556,-0.0720605619004087,-0.2144624695568368,0.4454228346872683,0.6511737754757948,0.6084056037358239,0.5526576600614584,0.5552082562242062,0.6094536991166182,0.5793155049635927,0.8968162843510662,0.5523542867270446,0.628289323432966,0.6662807340574001
GENE_00012,noise,0,1,0.8352234823215477,0.796599139601012,-0.2672325559896706,0.3339278776738599,0.3787485680609367,0.00533689126084056,0.28879165380903793,0.2937762047582299,0.2081719967374706,0.2508481531121877,0.5763626946237995,0.2885013163030033,0.16074721742690362,0.10186522512252999
GENE_00013,biology_signal,0,1,0.2054703135423616,2.0404472219297918,3.508581864938663,0.921768193784273,0.5988361660756631,0.609072715143429,0.9732911099946947,0.9731266499273906,0.922841090937913,0.9154033253464745,0.3088198963279931,0.9735979195741025,0.09585395555419403,0.08871713463650369
GENE_00014,noise,0,0,0.4109406270847232,0.4315921904833461,0.1484990591857665,0.4758668323576303,0.4854201333042443,0.609739826551034,0.6330024431028852,0.6313650688503517,0.7074779359973574,0.637437937472706,0.7070297357711759,0.6333269046424752,0.6682152910231882,0.7723792460305411
GENE_00015,noise,0,1,0.4656437625083389,1.7783424776278869,-0.1426203807974136,0.3566653655330515,0.4850271429151102,0.6104069379586391,0.7488425487875385,0.749238875427221,0.78739412505977,0.7198782184040668,0.722339020316454,0.7501460364597665,0.33858816708258466,0.2692011327731422
GENE_00016,biology_signal,0,1,0.2735156771180787,-2.676695447958676,-3.1285241837817983,0.0617155368685011,0.3138335296147153,0.00600400266844563,0.010247335897730137,0.009974747263160196,0.019360378924804977,0.008114559394467273,0.005136605493095803,0.010063350496211074,0.662290184806644,0.6724964898829849
GENE_00017,biology_signal,0,1,0.20613742494996665,-1.3986853497613934,-1.5430674022064153,0.2090573043056475,0.2709823826948472,0.0066711140760507,0.04683110364408744,0.04608824997398663,0.05842544788807472,0.023883954857372474,0.37268217601179776,0.04632016359420027,0.31691339359075693,0.2672481593534411
GENE_00018,biology_signal,0,1,0.2068045363575717,0.1041515850306404,0.1512532468434362,0.5454504406777272,0.4935573987749972,0.00733822548365577,0.3320312109324172,0.3275200369942074,0.32147827750344665,0.4151398671075768,0.05344942015079723,0.33140997695467134,0.4285215910699959,0.46498989054492534
GENE_00019,biology_signal,0,0,0.7278185456971314,0.9726659945352164,0.9026238314492172,0.5464857506791561,0.2877086212556542,0.008005336891260841,0.46627354136235055,0.47167365665051925,0.44387462276752765,0.6415604330936333,0.21514447008377735,0.46631862172928923,0.25782082646772153,0.1921167752365365
GENE_00020,biology_signal,0,1,0.058038692461641096,-1.16629778644443,-0.6612144369145463,0.3834472654927051,0.0464112506961766,0.6110740493662442,0.2013948044641728,0.20139453849871414,0.11715068049382764,0.2075891184829042,0.0637865770546977,0.20014854962308143,0.5848129506065095,0.48856615080162313
GENE_00021,biology_signal,1,1,0.8885923949299533,0.3739047534194655,-0.0522587939308927,0.617455826847764,0.6825543213057822,0.6117411607738492,0.6961763983483401,0.6993190766608127,0.6913567447908635,0.7630123977495807,0.02497117887536704,0.6963065622789664,0.7073317183437161,0.6326261833436634
GENE_00022,biology_signal,0,0,0.7531687791861241,3.807782245535549,3.760243428618439,0.9133735494108504,0.8445692278081162,0.6124082721814543,0.9935031309638283,0.9935835896332923,0.9708798608216213,0.9666810925400359,0.059294702060679216,0.9936315342479773,0.11265940239887952,0.1361006032914624
GENE_00023,noise,0,0,0.7538358905937291,0.465509315205633,0.1830796199682346,0.7229639864013051,0.7445932660016547,0.6130753835890593,0.7715355300539385,0.770401911056928,0.7306762748110935,0.831963647814489,0.7964511193091984,0.7718647390503944,0.8500256703743725,0.7536345398847529
GENE_00024,biology_signal,0,1,0.8212141427618412,-2.570320989265285,-1.6132747529075993,0.2861105934895481,0.7346037409659146,0.00867244829886591,0.041063477554801775,0.04021196927048173,0.026194016323157775,0.05402640902658952,0.2578016432787231,0.040456793262936545,0.7737656637607677,0.7496203793872626
GENE_00025,noise,0,1,0.05870580386924616,-0.7955340498068273,-0.0905715786577924,0.5280053210658199,0.5045989223893904,0.009339559706470981,0.20504897399054767,0.20006112442477653,0.1721235752666288,0.213942332101405,0.6152519991899071,0.2039587829785039,0.5536945138073359,0.5152270796252493
GENE_00026,biology_signal,0,0,0.059372915276851235,1.011491314510648,0.9688035282831932,0.5803873548549423,0.2596723287805579,0.6137424949966644,0.7534645126412267,0.7536296534212392,0.7549937358556513,0.7398163103304749,0.3444582916175888,0.7541897999295418,0.46702878675534665,0.4857187899143042
GENE_00027,biology_signal,0,0,0.2741827885256838,2.85574170882354,3.83494551359266,0.8403090132352555,0.7316508687600412,0.6144096064042696,0.9860235363770751,0.9859234224140382,0.9353888265419859,0.9376569491053589,0.05228896643814107,0.9862468378823196,0.09869691357776231,0.14223057186736418
GENE_00028,biology_signal,0,0,0.0,-1.149664386411075,-1.0819750204897003,0.1968204936379167,0.3207228175034164,0.6150767178118746,0.18595381202188546,0.18258826169873474,0.1426056698541035,0.12712463882484776,0.24487679292025188,0.18496476738291595,0.713809095823585,0.7824288363874754
GENE_00029,noise,0,1,0.524349566377585,-0.9820466280594408,-0.3879023334207876,0.1291518809469765,0.2018262923752805,0.01000667111407605,0.07417403859355054,0.07445891498541608,0.09263140812187677,0.05294631701426312,0.6718136672355854,0.0735584498846011,0.23890329971802426,0.19055838893122212
